Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Hungary	Commercial_banks	2004	1438905	889324	229676	417949	39340	46894	95860	179214	1266779	1072894	9482601	2340326	749304	1392633	8509	2917076	8217654	1482613	893419	35	1139	27190
Hungary	Commercial_banks	2005	1388809	765335	264152	469792	36752	66703	137188	177191	1988021	893114	11370654	2478465	838356	1581077	3135	3683276	9452084	1765196	1083842	35	1225	28826
Hungary	Commercial_banks	2006	1514894	817100	342721	525547	89098	69075	171566	185229	1893591	1174403	13462093	2972755	1260637	1895838	0	4274768	10876634	2030054	1686185	37	1376	31242
Hungary	Commercial_banks	2007	1846207	1128778	352849	587095	92933	65576	65777	258897	1258518	1188085	16439223	3932035	1557851	2204633	0	5910706	11995954	2441463	1822956	37	1533	33302
Hungary	Commercial_banks	2008	2196523	1482580	346721	642276	137157	44610	62510	174111	1106002	935568	19874675	5302133	1959500	2418907	149000	7695105	13412743	3024260	2477863	36	1673	34585
Hungary	Commercial_banks	2009	2464386	1708017	449040	588036	371263	37025	64276	144809	844962	1339516	18194247	7214981	1402667	2618352	0	7677081	13694168	3117955	1888817	35	1715	30968
Korea	Commercial_banks	1999	36077000	25441000	-2101000	6446000	7654000	430000	191000	-6187000	24169000	12496000	225020000	125564000	65189000	21655000	7183000	1210000	286611000	20709000	115070000	17	4844	74700
Korea	Commercial_banks	2000	40834000	28066000	2197000	6868000	10401000	536000	392000	-3232000	24011000	11064000	300440000	130153000	50891000	22067000	6492000	1589000	348813000	24669000	112929000	17	4770	70600
Korea	Commercial_banks	2001	35131000	22331000	3223000	6542000	5670000	239000	415000	3157000	26768000	5372000	342284000	139080000	44643000	26308000	9289000	517000	391165000	27404000	103464000	15	4755	68400
Korea	Commercial_banks	2002	36970000	20704000	1909000	8247000	5803000	772000	899000	2454000	22195000	4553000	429930000	132272000	47596000	29661000	5609000	1108000	441889000	50959000	107320000	14	4990	66900
Korea	Commercial_banks	2003	40548000	21291000	1680000	9257000	11049000	-40000	696000	-25000	28832000	5232000	483859000	132815000	46543000	31720000	7419000	355000	480375000	64205000	113207000	14	5038	67900
Korea	Commercial_banks	2004	40683000	20365000	3791000	10119000	7324000	293000	440000	5934000	22339000	5137000	501886000	131296000	57887000	39078000	6658000	488000	476126000	81890000	114305000	14	5024	68200
Korea	Commercial_banks	2005	40916000	19377000	4463000	11345000	3758000	1679000	1521000	7700000	28258000	7023000	537130000	151807000	50607000	51022000	6690000	529000	509741000	84069000	122774000	14	5125	66900
Korea	Commercial_banks	2006	45848000	23711000	5813000	12030000	3847000	3282000	2956000	5835000	36552000	6693000	620530000	152021000	58001000	59630000	6533000	166000	552784000	106560000	148124000	13	5385	67300
Korea	Commercial_banks	2007	55095000	30852000	7192000	13567000	2918000	4742000	2271000	7937000	33734000	9243000	698913000	150846000	73114000	65586000	4084000	174000	582556000	135620000	177830000	13	5515	73000
Korea	Commercial_banks	2008	67051000	40053000	3132000	13871000	7582000	2581000	161000	5935000	48482000	15093000	793722000	170502000	150277000	71039000	7328000	0	683455000	152955000	263300000	13	5677	74800
Korea	Commercial_banks	2009	57589481	33439034	3763893	13585175	8177330	1110572	1338987.86	3702275.14	41177876	11335395	789507519	184742208	99429174	79540479	7485785	187674	729615036	129016192	180347006	13	5669	75639
Mexico	Commercial_banks	1999	322242	251196	43399	69031	32976	3067	0	9371	73338	124991	819007	219425	140424	109687	36672	203969	965175	NA	61682	38	6891	115085
Mexico	Commercial_banks	2000	313459.059	235582.371	29598.706	77698.353	14924.626	2858.095	32.871	11961.449	91543.705	133352.065	1032271.63	595300.474	179235.998	144569.644	80856.125	186893.462	1015379.513	29457.489	574547.637	37	7039	109568
Mexico	Commercial_banks	2001	250008.767	174348.789	31087.613	72916.335	17750.714	2821.668	1750.204	11508.669	121738.716	174240.884	970242.382	708369.869	311527.764	150960.714	58382.495	153460.453	1174746.385	23622.168	724947.4	32	6511	99659
Mexico	Commercial_banks	2002	198784.022	123171.173	38009.391	76667.66	17953.553	6369.834	119.042	12512.151	206970.81	47869.979	984251.66	701134.986	423126.435	186852.747	70055.904	111607.74	1135170.362	20186.087	839481.029	34	6986	102536
Mexico	Commercial_banks	2003	186517.259	106742.646	56778.983	81325.121	14303.833	8724.933	551.593	31648.115	261532.995	41505.158	986241.267	793186.606	412881.747	212217.463	54877.205	117605.942	1270542.514	13551.964	826552.686	32	7737	114957
Mexico	Commercial_banks	2004	215583.287	111920.824	47110.79	90825.809	11569.949	16114.184	1827.027	30436.284	317708.748	69875.111	1077041.092	989322.242	366122.887	234857.593	80283.002	135024.579	1417294.544	14136.578	938473.785	27	7796	117465
Mexico	Commercial_banks	2005	301408.02	167807.087	64316.067	103835.301	17527.176	19854.557	4162.426	52537.54	289453.945	132864.617	1154985.408	1146178.689	494853.339	282063.127	44799.426	113687.375	1509499.067	23949.64	1244337.362	27	7991	127272
Mexico	Commercial_banks	2006	321014.58	152805.888	82794.912	120085.355	28678.348	23708.839	3160.743	75370.318	363707.689	81165.316	1385629.766	1306594.289	514219.899	347266.331	15915.151	117407.306	1622190.695	41085.707	1507451.769	30	8414	134611
Mexico	Commercial_banks	2007	377397.03	172339.16	91677.547	138895.578	59321.364	15034.443	4259.378	79224.655	362516.933	130385.33	1697622.988	1544480.275	509868.167	407900.877	2925.624	122794.026	1853443.524	86682.275	1771127.367	39	9464	146587
Mexico	Commercial_banks	2008	440144.535	205844.079	91084.708	153379.616	103211.336	10802.149	2057.149	55934.913	462825.215	202113.606	1893106.756	1509713.804	875745.162	453721.02	47182.883	129263.223	2163686.507	138826.454	2010824.455	42	10635	157640
Mexico	Commercial_banks	2009	395915.562	159861.569	110218.829	158763.746	107014.322	14730.661	3524.603	62239.49	453735.694	110554.253	1968554.08	1590692.807	705001.366	516375.555	44008.181	127159.812	2222486.771	151189.26	1767318.621	41	10899	161081
Norway	Commercial_banks	1999	45709	32373	5781	11917	164	1082	4836	1118	26766	32566	506796	71169	49481	45205	19877	79301	354896	111431	76068	22	466	12697
Norway	Commercial_banks	2000	53487	38507	8706	14713	738	1797	4603	1835	18091	54142	572814	75933	53420	49383	18721	101568	383235	128419	93077	22	411	12301
Norway	Commercial_banks	2001	62967	46423	8183	15728	2957	244	6208	-410	20604	48787	620201	82500	54161	49661	10270	112074	423174	135312	95762	22	388	12250
Norway	Commercial_banks	2002	59406	42181	6173	15639	4796	949	3674	-1660	49921	36507	652856	79709	68385	49207	358	150385	447515	127399	112514	23	376	12336
Norway	Commercial_banks	2003	53243	35664	6833	15782	4182	778	3075	595	13861	68773	699379	91873	106282	50907	11393	163019	453794	157286	143768	22	395	11479
Poland	Commercial_banks	1999	34426	21703	8133	13038	3052	1794	538	2712	16106	47131	165607	85281	33908	29013	5736	33810	228593	1245	49636	77	2235	149638
Poland	Commercial_banks	2000	50237	34680	10399	16052	4377	1618	630	3367	15863	73527	183495	93655	43905	34185	5532	46278	263026	2078	59346	73	2449	144237
Poland	Commercial_banks	2001	48197	34383	13333	16548	5298	1383	1413	2622	28317	73170	197624	94718	54372	41053	4487	35768	292121	2762	72010	69	2879	138822
Poland	Commercial_banks	2002	33831	19442	12459	16990	6527	1348	1286	2488	20863	58477	203003	103925	56854	45339	2758	31036	286456	3793	73740	59	3040	131878
Poland	Commercial_banks	2003	25778	12122	11364	16932	3987	1764	1478	2357	18461	70826.216	221801.237	111539.74	40648.807	46847	2380	32012	294634	5237	82167	58	3119	124093
Poland	Commercial_banks	2004	28121.137	13149.151	12191.37	17535.387	2294.87	1494.51	4146	2773	19242	87273.4	229350.2	114279.3	59610.6	49664.6	2157.9	35194.9	311287.9	6516.9	104933.3	57	3707	122005
Poland	Commercial_banks	2005	31645.404	14872.686	13143.85	18089.407	1516.249	1713.784	5156	4314	16994.2	98813.6	250898.1	132217.9	53592.4	51674.1	2506.5	44155.6	338160.4	9396	106623.6	61	3717	124689
Poland	Commercial_banks	2006	32526.232	13625.086	14381.159	19287.58	1589.245	2211.644	5636.9	4546.5	22054.826	100386.703	313561.356	139749.87	63913.428	55376.427	4950.23	54802.501	380364.704	15910.452	128261.869	63	3782	129027
Poland	Commercial_banks	2007	40180.111	18037.724	17303.944	21939.743	1640.324	2877.986	4531.2	8457.078	26991.211	83833.728	413991.381	133041.691	85994.795	63865.14	3041.072	67544.951	431180.058	12392.989	165828.596	64	4148	137024
Poland	Commercial_banks	2008	54007.775	28727.311	20290.424	24915.824	4991.694	2886.481	255.538	12521.351	38026.571	52673.012	621900.857	181211.712	84350.168	89713.58	18199.255	90026.219	541119.955	3692.762	235410.549	70	4604	150447
Poland	Commercial_banks	2009	51636.71	27676.867	22820.753	25244.474	11862.05	1774.883	2685.724	5213.464	49013.011	25562.343	658131.951	221907.417	40729.147	106500.361	14516.104	86047.277	600073.014	10778.844	177428.27	67	4995	142837
Portugal	Commercial_banks	1999	12428	7833	2029	3876	951	262	NA	NA	9592	67935	115502	37182	12012	26003	2405	79309	113451	14159	6896	45	4735	57239
Portugal	Commercial_banks	2000	15799	11102	2333	4156	257	306	NA	NA	8296	59256	140232	39953	14531	29631	1800	80349	122520	19564	8403	42	4895	53843
Portugal	Commercial_banks	2001	17519	12413	2169	4153	998	301	NA	NA	8808	63823	157473	38632	15927	33651	597	85062	129642	27220	8492	42	4804	51537
Portugal	Commercial_banks	2002	15142.577	10069.119	2034.616	4369.185	819.647	232.962	NA	NA	7568.087	62182.356	168437.222	36272.942	16352.223	35675.116	30.716	85353.381	129024.128	31899.299	8830.194	45	4714	52367
Portugal	Commercial_banks	2003	14298.938	9355.424	3140.545	4358.647	1614.655	261.638	NA	NA	14081.734	66617.738	170900.307	43721.79	15998.564	37988.619	392.226	88772.129	132521.337	42217.269	9428.553	46	4754	50893
Portugal	Commercial_banks	2004	13292.421	8341.825	2760.6	4235.826	1674.273	145.864	NA	NA	7178.778	54439.356	176200.347	46919.973	15950.375	36482.782	3057.135	71674.486	136912.544	43417.465	9144.416	40	4606	49497
Portugal	Commercial_banks	2005	15255.528	10134.716	4369.816	5665.938	1772.12	207.639	NA	NA	5712.836	57158.517	199872.282	45216.247	17551.743	34800.17	5531.328	80496.127	144822.467	34631.712	25229.819	39	4736	49834
Portugal	Commercial_banks	2006	18949.546	13062.38	4553.852	5707.725	1719.477	535.996	NA	NA	6337.461	63800.468	218284.053	45098.4	19065.702	38868.032	66.587	94342.506	150174.158	40273.407	28861.394	39	4896	53939
Portugal	Commercial_banks	2007	24519.033	17964.409	4721.314	6170.859	1823.048	575.976	NA	NA	9851.449	64093.016	248444.552	49754.674	20359.403	41000.405	2472.494	101578.514	160080.192	52788.696	34582.793	40	5279	56658
Portugal	Commercial_banks	2008	29789.735	22525.271	4211.455	6223.877	3840.638	539.066	NA	NA	6696.551	62146.198	278867.427	63199.435	23184.397	40424.813	8278.196	95332.322	177788.955	67528.02	44741.703	41	5565	57467
