Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Portugal	Commercial_banks	2009	21394.443	14861.223	4935.6	6487.686	3400.445	239.955	NA	NA	9967.158	62045.989	284809.403	87885.332	17462.377	45252.748	10557.682	89536.029	186957.849	84520.712	45345.24	41	5588	56860
Slovakia	Commercial_banks	1999	2107.43	1872.517	425.394	878.018	740.072	23.747	-1136.248	154.718	2506.688	3664.713	10505.355	3269.285	1721.722	2853.033	941.295	3622.922	14231.571	918.748	-899.806	21	1210	22505
Slovakia	Commercial_banks	2000	2048.495	1499.158	369.857	1023.549	-144.594	16.049	-153.547	177.738	2653.076	3773.506	9516.929	5120.17	2525.509	2069.439	815.59	3902.896	16547.885	911.94	-658.56	18	1070	20404
Slovakia	Commercial_banks	2001	1724.903	1081.636	352.113	1113.097	-367.323	6.812	9.026	233.768	2947.235	3145.422	7297.158	8135.664	4330.663	2230.701	704.773	3970.257	18499.039	821.569	-370.197	16	1016	19202
Slovakia	Commercial_banks	2002	1802.773	973.391	431.632	1055.647	-121.152	10.401	-12.885	329.003	3742.292	2721.312	8406.421	9043.496	3983.645	1781.927	270.734	4698.193	19496.128	582.325	1067.86	15	969	17741
Slovakia	Commercial_banks	2003	1590.922	797.351	511.785	1148.133	-172.472	-4.817	-376.81	711.323	2782.515	4304.308	9823.402	8764.203	970.159	1560.075	218.814	2382.606	20110.301	1022.699	1350.093	15	983	17700
Slovakia	Commercial_banks	2004	1593.565	716.993	560.566	1144.092	-106.826	46.004	-351.773	705.641	2080.388	7236.802	11297.625	10022.926	933.985	1544.233	129.877	4201.938	22398.714	1775.754	1521.209	15	1031	17618
Slovakia	Commercial_banks	2005	1455.196	584.475	722.066	1259.642	-145.577	64.697	-337.433	751.458	1205.343	7553.304	14701.889	10184.769	833.764	1598.283	108.914	5696.391	22990.033	2382.785	1702.663	15	1057	17660
Slovakia	Commercial_banks	2006	1790.156	781.88	726.094	1016.831	-55.683	134.123	-175.026	814.125	6542.632	2303.68	17062.456	9513.663	1923.923	3095.999	109.311	3816.465	25647.593	2827.326	1849.66	14	1076	17166
Slovakia	Commercial_banks	2007	2372.614	1150.722	653.922	1187.623	-54.225	107.253	-281.519	916.682	6648.468	1935.558	21470.796	10119.518	1633.168	3422.787	91.402	4352.433	29454.263	3410.901	1075.723	13	1053	17129
Slovakia	Commercial_banks	2008	2713.61	1302.84	712.409	1165.4	344.539	145.319	207.183	260.737	14195.937	2125.587	26958.358	10974.964	1904.569	4159.649	70.232	7132.037	39287.309	4013.472	1496.716	14	1220	19573
Slovakia	Commercial_banks	2009	2075.536	664.654	421.092	1087.809	431.438	77.24	NA	NA	1550.063	3468.997	26636.043	13612.811	1501.237	4281.095	1659.826	2432.227	33822.83	3636.353	936.82	12	1163	17622
Spain	Commercial_banks	1999	24041	13973	5726	10167	1161	937	2598	930	12093	135720	268977	110856	40976	39141	19574	186271	258154	25841	39641	146	16905	127889
Spain	Commercial_banks	2000	29239	18332	7764	11598	1743	742	3132	1455	6913	132038	304065	127970	53140	53241	9119	187470	302780	21020	50496	141	15811	122374
Spain	Commercial_banks	2001	36475	21418	6802	11339	5312	527	3531	1149	9616	141140	331207	152290	55112	58873	7433	197201	348687	24968	52203	145	14756	118722
Spain	Commercial_banks	2002	32174	17754	7743	11567	4545	884	3496	1671	6245	153082	358429	158244	51609	64150	13669	210758	356847	30673	51512	143	14072	114040
